,VariantProductName,Price,ProductID,ProductName
72,"361594.131,5 kg",9.79,361594,Royal Canin X-Small Adult
73,361594.113 kg,17.79,361594,Royal Canin X-Small Adult
74,361594.12Pack económico: 2 x 3 kg,31.49,361594,Royal Canin X-Small Adult
75,361595.123 kg,18.29,361595,Royal Canin X-Small Adult 8+
76,361595.13Pack económico: 2 x 3 kg,34.49,361595,Royal Canin X-Small Adult 8+
77,439458.103 kg,19.99,439458,Royal Canin Mini Starter Mother & Babydog
78,439458.114 kg,22.99,439458,Royal Canin Mini Starter Mother & Babydog
79,439458.128 kg ,44.99,439458,Royal Canin Mini Starter Mother & Babydog
80,439458.13Pack económico: 2 x 8 kg ,87.49,439458,Royal Canin Mini Starter Mother & Babydog
81,413672.1415 kg,71.49,413672,Royal Canin Medium Starter Mother & Babydog
82,413672.13Pack económico: 2 x 15 kg,139.99,413672,Royal Canin Medium Starter Mother & Babydog
83,361567.715 kg,64.99,361567,Royal Canin Maxi Starter Mother & Babydog
84,361567.6Pack económico: 2 x 15 kg,127.99,361567,Royal Canin Maxi Starter Mother & Babydog
85,361591.515 kg,65.99,361591,Royal Canin Giant Starter Mother & Babydog
86,361591.4Pack económico: 2 x 15 kg,129.99,361591,Royal Canin Giant Starter Mother & Babydog
87,362771.912 x 195 g,24.49,362771,Royal Canin Starter Mousse Mother & Babydog
88,362771.10Pack económico: 24 x 195 g,46.99,362771,Royal Canin Starter Mousse Mother & Babydog
89,362771.11Megapack económico: 48 x 195 g,88.99,362771,Royal Canin Starter Mousse Mother & Babydog
90,361599.52 kg (5 x 400 g),51.99,361599,Royal Canin Babydog Milk leite para cachorros
91,523458.128Maxi Adult (2 x 15 kg),109.99,523458,Royal Canin Size ração para cães - Pack económico
92,523458.129Maxi Adult 5+ (2 x 15 kg),111.99,523458,Royal Canin Size ração para cães - Pack económico
93,523458.105Maxi Ageing 8+ (2 x 15 kg),117.99,523458,Royal Canin Size ração para cães - Pack económico
94,523458.130Medium Adult (2 x 15 kg),104.99,523458,Royal Canin Size ração para cães - Pack económico
95,523458.131Medium Adult 7+ (2 x 15 kg),112.99,523458,Royal Canin Size ração para cães - Pack económico
